item_id,sku,item_name,category_id,category_name,is_combo_product,quantity_purchased,quantity_sold,quantity_ordered,quantity_demanded,quantity_available,quantity_available_for_sale,reorder_level,Status,unit
3645827000001001034,,Bombas Junior socks,-1,Others,false,0.00,0.00,0.00,0.00,0.00,0.00,,active,pairs
3645827000001001161,,Bombas L socks,-1,Others,false,1825.00,0.00,0.00,0.00,1825.00,1825.00,,active,pairs
3645827000001001126,,Bombas M socks,-1,Others,false,4550.00,0.00,0.00,0.00,4550.00,4550.00,,active,pairs
3645827000001001091,,Bombas S socks,-1,Others,false,1000.00,0.00,0.00,0.00,1000.00,1000.00,,active,pairs
3645827000000075750,843629119162,Bombas socks,-1,Others,false,173008.00,155758.00,0.00,18195.00,17250.00,-945.00,,active,pairs
3645827000001001023,,Bombas Toddler socks,-1,Others,false,0.00,0.00,0.00,0.00,0.00,0.00,,active,pairs
3645827000001001196,,Bombas XL socks,-1,Others,false,5250.00,0.00,0.00,0.00,5250.00,5250.00,,active,pairs
3645827000001001056,,Bombas XS Socks,-1,Others,false,500.00,0.00,0.00,0.00,500.00,500.00,,active,pairs
3645827000001001045,,Bombas Youth socks,-1,Others,false,0.00,0.00,0.00,0.00,0.00,0.00,,active,pairs
3645827000000080168,,boys socks-large,-1,Others,false,2071.00,1720.00,0.00,159.00,351.00,192.00,,active,pairs
3645827000000080155,,boys socks-medium,-1,Others,false,1872.00,1144.00,0.00,225.00,728.00,503.00,,active,pairs
3645827000000075275,,boys socks-small,-1,Others,false,1630.00,1581.00,10.00,276.00,49.00,-227.00,,active,pairs
3645827000000080177,,boys socks-toddler,-1,Others,false,351.00,163.00,0.00,108.00,188.00,80.00,,active,pairs
3645827000000160035,,boys underwear-2XL,-1,Others,false,261.00,240.00,0.00,75.00,21.00,-54.00,,active,pairs
3645827000000075429,,boys underwear-large,-1,Others,false,2785.00,2604.00,0.00,549.00,181.00,-368.00,,active,pairs
3645827000000075427,,boys underwear-medium,-1,Others,false,3868.00,3595.00,20.00,447.00,273.00,-174.00,,active,pairs
3645827000000075425,,boys underwear-small,-1,Others,false,4692.00,4692.00,0.00,432.00,0.00,-432.00,,active,pairs
3645827000000075423,,boys underwear-toddler,-1,Others,false,2144.00,1986.00,0.00,441.00,158.00,-283.00,,active,pairs
3645827000000075431,,boys underwear-XL,-1,Others,false,2776.00,2596.00,0.00,354.00,180.00,-174.00,,active,pairs
3645827000000081210,,girls socks-large,-1,Others,false,1709.00,1327.00,0.00,165.00,382.00,217.00,,active,pairs
